SMILES,res_fitness
CCCCc1cc(N)ccc1Oc1cccc2c1[nH]c1c3c(ccc1[nH]c1c(-c4ccc(-c5ccc(N)cc5)cc4N)cc(N)cc12)-c1c(N)ccc-3c1Nc1ccccc1NONc1ccccc1-c1c2cccc1-2,501.9805426485081
Cc1cccc(CNc2c(-c3ccc(N)c(Oc4cc(-c5ccccc5-c5ccc(N)cc5)ccc4N)c3)cc(N)cc2-c2ccc3c(c2-c2ccccc2-c2c(N)cccc2N)NNCCN3)c1Oc1c2cccc1-2,501.93123543999735
NNc1ccc(NCc2c(ONc3cccc(N)c3-c3ccccc3N)ccc(N)c2Nc2ccc3c(c2)-c2ccc(N)c-3c2)c(-c2c3cc(N)c(Oc4cc(-c5ccccc5-c5ccccc5)ccc4N)c2-3)c1,501.630961921388
CCNc1ccc2c(-c3ccccc3-c3c(N)cccc3N)c1-c1ccc3c(c1-3)Oc1c(C)cc(N)cc1CNc1c(-c3ccc(N)c(Oc4cc(-c5cccc(N)c5-c5ccc(N)cc5)ccc4N)c3)cc(N)cc1-2,500.9688730455609
CCCc1cc(N)cc(C)c1Oc1cccc2c1[nH]c1c3c(ccc1[nH]c1c(-c4ccc(-c5ccc(N)cc5)cc4N)cc(N)cc12)-c1c(N)ccc-3c1Nc1ccccc1NONc1ccccc1-c1c2cccc1-2,500.59369851232685
CCNNc1ccccc1-c1ccccc1-c1c(-c2ccccc2Nc2ccc3cc2-3)cccc1-c1c(N)c2ccc1c1ccc(N)c(Oc3cc(-c4cc(N)ccc4-c4ccc5c(c4)-c4cccc-5c4)ccc3N)c21,500.53010509412576
CCCCc1cc(N)ccc1Oc1cccc2c1[nH]c1c3c(ccc1[nH]c1c(-c4c(N)cc(-c5ccc(N)cc5)cc4-c4ccc(O)c(O)c4-c4ccccc4)cc(N)cc12)-c1c(N)ccc-3c1Nc1ccccc1N,500.22528801967326
NNc1cccc(-c2cc(N)cc(-c3c4cc(N)c(Oc5cc(-c6cccc(N)c6-c6ccc(-c7c8cccc7-8)cc6)ccc5N)c3-4)c2NCc2cc(N)ccc2ONc2cccc(N)c2-c2ccccc2N)c1,499.2297938568493
CNNc1ccc2cc1-c1ccccc1Nc1cccc(-c3ccc(N)c(Oc4c(N)cc5c(-c6c7c(N)cc(c6NCc6cc(N)ccc6ONc6cccc(N)c6-c6ccccc6N)-c6cccc(c6)N7)c4-5)c3)c1-2,498.99055278347805
CNc1ccc(N)cc1-c1ccc2c(c1)Oc1c(N)ccc(-c3cccc(N)c3-c3ccc(N)c(-c4cccc(NCc5cc(N)ccc5ONc5cccc(N)c5-c5ccccc5)c4)c3)c1N2c1ccccc1N,498.73756266199445
CCNc1ccc2c(-c3ccccc3-c3c(N)cccc3N)c1Nc1ccc3c(c1-3)Oc1c(C)cccc1CNc1c(-c3ccc(N)c(Oc4cc(-c5cccc(N)c5-c5ccc(N)cc5)ccc4N)c3)cc(N)cc1-2,498.71868079024784
CCNNc1ccc(N)c(-c2c3cc(N)c(Oc4cc(-c5cccc(N)c5-c5ccccc5)ccc4Nc4c5ccc(N)c4-c4ccc(Nc6cc(ONc7cccc(N)c7-c7ccccc7N)ccc6N)cc4-5)c2-3)c1,498.70968479345083
